route_id,unique_id,service_start_date,update_origin,train_platform,working_time_arrival,working_time_departure,planned_time_arrival,planned_time_departure,platform,train_length,actual_arrival_time,actual_departure_time,is_delayed_arrival,is_delayed_departure,StationName,Easting,Northing
202307278024592,P24592,2023-07-27,TD,CMDNRD,2023-07-27 18:20:30,2023-07-27 18:21:30,2023-07-27 18:21:00,2023-07-27 18:21:00,2,5,2023-07-27 18:21:00,2023-07-27 18:23:00,False,False,Camden Road Rail Station,529175.0,184185.0
202307278024592,P24592,2023-07-27,TD,CLDNNRB,2023-07-27 18:24:00,2023-07-27 18:24:30,2023-07-27 18:24:00,2023-07-27 18:24:00,3,5,2023-07-27 18:24:00,2023-07-27 18:26:00,False,False,Caledonian Road & Barnsbury Rail Station,530695.0,184363.0
202307278024592,P24592,2023-07-27,TD,HIGHBYA,2023-07-27 18:26:00,2023-07-27 18:27:30,2023-07-27 18:26:00,2023-07-27 18:27:00,8,5,2023-07-27 18:26:00,2023-07-27 18:27:00,False,False,Highbury & Islington Rail Station,531585.0,184725.0
202307278024592,P24592,2023-07-27,TD,CNNB,2023-07-27 18:28:30,2023-07-27 18:29:00,2023-07-27 18:29:00,2023-07-27 18:29:00,4,5,2023-07-27 18:29:00,2023-07-27 18:29:00,False,False,Canonbury Rail Station,532380.0,185040.0
202307278024592,P24592,2023-07-27,TD,DALSKLD,2023-07-27 18:31:00,2023-07-27 18:32:00,2023-07-27 18:31:00,2023-07-27 18:32:00,2,5,2023-07-27 18:31:00,2023-07-27 18:32:00,False,False,Dalston Kingsland Rail Station,533525.0,185005.0
202307278024592,P24592,2023-07-27,TD,HACKNYC,2023-07-27 18:33:30,2023-07-27 18:34:30,2023-07-27 18:34:00,2023-07-27 18:34:00,2,5,2023-07-27 18:34:00,2023-07-27 18:34:00,False,False,Hackney Central Rail Station,534890.0,184925.0
202307278024592,P24592,2023-07-27,TD,HOMRTON,2023-07-27 18:36:00,2023-07-27 18:37:00,2023-07-27 18:36:00,2023-07-27 18:37:00,2,5,2023-07-27 18:36:00,2023-07-27 18:37:00,False,False,Homerton Rail Station,535840.0,184940.0
202307278024592,P24592,2023-07-27,TD,HACKNYW,2023-07-27 18:39:00,2023-07-27 18:39:30,2023-07-27 18:39:00,2023-07-27 18:39:00,2,5,2023-07-27 18:39:00,2023-07-27 18:39:00,False,False,Hackney Wick Rail Station,537060.0,184572.0
202307278951706,Y51706,2023-07-27,CIS,EDULWCH,2023-07-27 23:44:30,2023-07-27 23:45:00,2023-07-27 23:45:00,2023-07-27 23:45:00,2,6,2023-07-27 23:45:00,2023-07-27 23:45:00,False,False,East Dulwich Rail Station,533440.0,175360.0
202307277156125,G56125,2023-07-27,TD,DENHAM,2023-07-27 22:32:00,2023-07-27 22:33:00,2023-07-27 22:32:00,2023-07-27 22:33:00,1,3,2023-07-27 22:32:00,2023-07-27 22:33:00,False,False,Denham Rail Station,504214.0,187733.0
202307278024696,P24696,2023-07-27,CIS,HACKNYW,2023-07-27 23:28:00,2023-07-27 23:28:30,2023-07-27 23:28:00,2023-07-27 23:28:00,2,5,2023-07-27 23:28:00,2023-07-27 23:29:00,False,False,Hackney Wick Rail Station,537060.0,184572.0
202307277195563,G95563,2023-07-27,TD,EMALING,2023-07-27 17:50:30,2023-07-27 17:51:00,2023-07-27 17:51:00,2023-07-27 17:51:00,2,8,2023-07-27 17:51:00,2023-07-27 17:51:00,False,False,East Malling Rail Station,570200.0,156900.0
202307277195563,G95563,2023-07-27,TD,BARMING,2023-07-27 17:54:00,2023-07-27 17:54:30,2023-07-27 17:54:00,2023-07-27 17:54:00,2,8,2023-07-27 17:54:00,2023-07-27 17:54:00,False,False,Barming Rail Station,572970.0,156891.0
202307277195563,G95563,2023-07-27,TD,MSTONEE,2023-07-27 17:58:30,2023-07-27 18:00:00,2023-07-27 17:59:00,2023-07-27 18:00:00,2,8,2023-07-27 17:59:00,2023-07-27 18:00:00,False,False,Maidstone East Rail Station,575949.0,156206.0
202307278950305,Y50305,2023-07-27,Darwin,HASOCKS,2023-07-27 18:42:30,2023-07-27 18:43:30,2023-07-27 18:43:00,2023-07-27 18:43:00,2,12,2023-07-27 18:47:00,2023-07-27 18:47:00,False,False,Hassocks Rail Station,530404.0,115543.0
202307278950305,Y50305,2023-07-27,Darwin,PRSP,2023-07-27 18:50:00,2023-07-27 18:51:00,2023-07-27 18:50:00,2023-07-27 18:51:00,3,12,2023-07-27 18:54:00,2023-07-27 18:55:00,False,False,Preston Park Rail Station,529975.0,106779.0
202307278950305,Y50305,2023-07-27,Darwin,HOVE,2023-07-27 18:54:00,2023-07-27 18:55:00,2023-07-27 18:54:00,2023-07-27 18:55:00,3,12,2023-07-27 18:58:00,2023-07-27 18:59:00,False,False,Hove Rail Station,528912.0,105559.0
202307278950305,Y50305,2023-07-27,Darwin,PSLDAWH,2023-07-27 18:57:30,2023-07-27 18:58:30,2023-07-27 18:58:00,2023-07-27 18:58:00,2,12,2023-07-27 19:01:00,2023-07-27 19:02:00,False,False,Portslade Rail Station,526471.0,105551.0
202307278950305,Y50305,2023-07-27,Darwin,SHRHMBS,2023-07-27 19:02:30,2023-07-27 19:03:30,2023-07-27 19:03:00,2023-07-27 19:03:00,2,12,2023-07-27 19:06:00,2023-07-27 19:06:00,False,False,Shoreham-by-Sea (Sussex) Rail Station,521800.0,105300.0
202307278950305,Y50305,2023-07-27,Darwin,LNCG,2023-07-27 19:07:00,2023-07-27 19:08:00,2023-07-27 19:07:00,2023-07-27 19:08:00,2,12,2023-07-27 19:10:00,2023-07-27 19:11:00,False,False,Lancing Rail Station,518200.0,104400.0
202307278950305,Y50305,2023-07-27,Darwin,WORTHNG,2023-07-27 19:11:30,2023-07-27 19:12:30,2023-07-27 19:12:00,2023-07-27 19:12:00,3,12,2023-07-27 19:14:00,2023-07-27 19:15:00,False,False,Worthing Rail Station,514484.0,103362.0
202307278950305,Y50305,2023-07-27,Darwin,WWRTHNG,2023-07-27 19:14:00,2023-07-27 19:15:00,2023-07-27 19:14:00,2023-07-27 19:15:00,2,12,2023-07-27 19:16:00,2023-07-27 19:17:00,False,False,West Worthing Rail Station,513300.0,103320.0
202307278950305,Y50305,2023-07-27,Darwin,DRNGTOS,2023-07-27 19:17:00,2023-07-27 19:18:00,2023-07-27 19:17:00,2023-07-27 19:18:00,2,12,2023-07-27 19:19:00,2023-07-27 19:20:00,False,False,Durrington-on-Sea Rail Station,512000.0,103200.0
202307278950305,Y50305,2023-07-27,Darwin,GORNGBS,2023-07-27 19:20:00,2023-07-27 19:21:00,2023-07-27 19:20:00,2023-07-27 19:21:00,2,12,2023-07-27 19:22:00,2023-07-27 19:23:00,False,False,Goring-by-Sea Rail Station,510477.0,103189.0
202307278950305,Y50305,2023-07-27,Darwin,ANGMRNG,2023-07-27 19:24:30,2023-07-27 19:25:30,2023-07-27 19:25:00,2023-07-27 19:25:00,2,12,2023-07-27 19:27:00,2023-07-27 19:27:00,False,False,Angmering Rail Station,506513.0,102979.0
202307276714596,C14596,2023-07-27,CIS,BLTRNAB,2023-07-27 22:47:30,2023-07-27 22:48:00,2023-07-27 22:48:00,2023-07-27 22:48:00,2,3,2023-07-27 22:50:00,2023-07-27 22:50:00,False,False,Beltring Rail Station,568000.0,147800.0
202307278027005,P27005,2023-07-27,CIS,FORESTH,2023-07-27 17:37:00,2023-07-27 17:37:30,2023-07-27 17:37:00,2023-07-27 17:37:00,2,5,2023-07-27 17:39:00,2023-07-27 17:40:00,False,False,Forest Hill Rail Station,535410.0,172940.0
202307277126195,G26195,2023-07-27,TD,STRBDGJ,2023-07-27 19:04:30,2023-07-27 19:05:30,2023-07-27 19:05:00,2023-07-27 19:05:00,2,4,2023-07-27 19:05:00,2023-07-27 19:05:00,False,False,Stourbridge Junction Rail Station,391000.0,283300.0
202307277126195,G26195,2023-07-27,TD,CRADLYH,2023-07-27 19:10:00,2023-07-27 19:11:00,2023-07-27 19:10:00,2023-07-27 19:11:00,1,4,2023-07-27 19:10:00,2023-07-27 19:11:00,False,False,Cradley Heath Rail Station,393950.0,285750.0
202307277196374,G96374,2023-07-27,TD,LEWISHM,2023-07-27 21:00:30,2023-07-27 21:01:30,2023-07-27 21:01:00,2023-07-27 21:01:00,4,8,2023-07-27 21:02:00,2023-07-27 21:02:00,False,False,Lewisham Rail Station,538050.0,175950.0
202307277196374,G96374,2023-07-27,TD,BLKHTH,2023-07-27 21:03:30,2023-07-27 21:04:30,2023-07-27 21:04:00,2023-07-27 21:04:00,2,8,2023-07-27 21:04:00,2023-07-27 21:05:00,False,False,Blackheath Rail Station,539640.0,176005.0
202307277196374,G96374,2023-07-27,TD,KIDBROK,2023-07-27 21:07:00,2023-07-27 21:07:30,2023-07-27 21:07:00,2023-07-27 21:07:00,2,8,2023-07-27 21:07:00,2023-07-27 21:08:00,False,False,Kidbrooke Rail Station,540945.0,175632.0
